name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details,processed_name,predicted_category,predicted_subcategory
Kama Ayurveda Kokum Almond Cleansing Shower Oil,198.0,,Grocery & Food,Fresh Vegetables,,,200 ml,,,,,,,,P3590,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.299880Z,2025-01-11T10:51:48.299880Z,,kama ayurveda kokum almond cleansing shower oil,Grocery & Food,Fresh Vegetables
Fabessentials Vitamin E Calendula Skin Hydrating Face Cream,369.0,,Grocery & Food,Fresh Vegetables,,,250 ml,,,,,,,,P3741,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.299880Z,2025-01-11T10:51:48.299880Z,,fabessentials vitamin e calendula skin hydrating face cream,Grocery & Food,Fresh Vegetables
Tabac Original Bath & Shower Gel,240.0,,Grocery & Food,Fresh Fruits,,,300 ml,,,,,,,,P4515,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.300879Z,2025-01-11T10:51:48.300879Z,,tabac original bath & shower gel,Grocery & Food,Fresh Fruits
Sanfe Beauty 6 IN 1 Glo Boost Cream,200.0,,Health & Beauty,Face,,,236 ml,,,,,,,,P7586,Lakme,/api/placeholder/200/200,True,2025-01-11T10:51:48.300879Z,2025-01-11T10:51:48.300879Z,,sanfe beauty 6 in 1 glo boost cream,Health & Beauty,Face
Prakriti Herbals Softening Lemongrass Foot Soak,86.0,,Grocery & Food,Fresh Vegetables,,,100 g,,,,,,,,P4263,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.301878Z,2025-01-11T10:51:48.301878Z,,prakriti herbals softening lemongrass foot soak,Grocery & Food,Fresh Vegetables
ZM Zayn & Myza Vitamin C Body Lotion,200.0,,Grocery & Food,Fresh Fruits,,,40 ml,,,,,,,,P7332,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.301878Z,2025-01-11T10:51:48.301878Z,,zm zayn & myza vitamin c body lotion,Grocery & Food,Fresh Fruits
The Body Shop Strawberry Body Butter,224.0,,Grocery & Food,Fresh Vegetables,,,55 g,,,,,,,,P5508,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.301878Z,2025-01-11T10:51:48.301878Z,,the body shop strawberry body butter,Grocery & Food,Fresh Vegetables
Aroma Magic Honey & Shea Butter Body Lotion,86.0,,Grocery & Food,Fresh Fruits,,,100 g,,,,,,,,P8395,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.302881Z,2025-01-11T10:51:48.302881Z,,aroma magic honey & shea butter body lotion,Grocery & Food,Fresh Fruits
Tonymoly Shiny Foot Cream & Scrub - Super Peeling Liquid,369.0,,Grocery & Food,Fresh Fruits,,,250 ml,,,,,,,,P0189,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.303878Z,2025-01-11T10:51:48.303878Z,,tonymoly shiny foot cream & scrub - super peeling liquid,Grocery & Food,Fresh Fruits
Fixderma Salyzap-AZ Acne Treatment Body Spray (2% Salicylic Acid + 2% Azelaic Acid),240.0,,Grocery & Food,Fresh Vegetables,,,236 ml,,,,,,,,P3558,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.303878Z,2025-01-11T10:51:48.303878Z,,fixderma salyzap-az acne treatment body spray (2% salicylic acid + 2% azelaic acid),Grocery & Food,Fresh Vegetables
Sanfe Spotlite Sensitive Areas Body Scrub,396.0,,Grocery & Food,Fresh Vegetables,,,250 ml,,,,,,,,P2214,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.304878Z,2025-01-11T10:51:48.304878Z,,sanfe spotlite sensitive areas body scrub,Grocery & Food,Fresh Vegetables
"Moody Vitamin C Body Lotion Serum with Mandarin Orange, Niacinamide & Jojoba Oil",86.0,,Grocery & Food,Fresh Fruits,,,100 g,,,,,,,,P2258,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.304878Z,2025-01-11T10:51:48.304878Z,,"moody vitamin c body lotion serum with mandarin orange, niacinamide & jojoba oil",Grocery & Food,Fresh Fruits
"Boho Botanist Mandarin, Kakadu Plum & Rosemary Body Lotion",200.0,,Grocery & Food,Fresh Fruits,,,40 ml,,,,,,,,P7017,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.304878Z,2025-01-11T10:51:48.304878Z,,"boho botanist mandarin, kakadu plum & rosemary body lotion",Grocery & Food,Fresh Fruits
"Boho Botanist Bulgarian Rose, Peony & Rosehip Body Milk",396.0,,Grocery & Food,Fresh Fruits,,,250 ml,,,,,,,,P2272,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.305879Z,2025-01-11T10:51:48.305879Z,,"boho botanist bulgarian rose, peony & rosehip body milk",Grocery & Food,Fresh Fruits
Conscious Chemist Hyaluronic Acid Non-Greasy Body Cream,86.0,,Grocery & Food,Fresh Vegetables,,,100 g,,,,,,,,P2099,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.305879Z,2025-01-11T10:51:48.305879Z,,conscious chemist hyaluronic acid non-greasy body cream,Grocery & Food,Fresh Vegetables
Boho Botanist The Gloss Dry Body Oil,1116.0,,Grocery & Food,Fresh Vegetables,,,200 ml,,,,,,,,P4435,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.306878Z,2025-01-11T10:51:48.306878Z,,boho botanist the gloss dry body oil,Grocery & Food,Fresh Vegetables
Prakriti Herbals Salted Caramel Kiss Shower Gel,285.0,,Grocery & Food,Fresh Vegetables,,,180 g,,,,,,,,P7658,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.306878Z,2025-01-11T10:51:48.306878Z,,prakriti herbals salted caramel kiss shower gel,Grocery & Food,Fresh Vegetables
Quench Botanics Face & Body Cream,266.0,,Grocery & Food,Fresh Fruits,,,50 g,,,,,,,,P4825,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.306878Z,2025-01-11T10:51:48.306878Z,,quench botanics face & body cream,Grocery & Food,Fresh Fruits
Moody Hydro Burst Beach Please Body Wash,225.0,,Grocery & Food,Fresh Vegetables,,,30 g,,,,,,,,P9528,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.307879Z,2025-01-11T10:51:48.307879Z,,moody hydro burst beach please body wash,Grocery & Food,Fresh Vegetables
Moody Hydro Burst Beach Please Body Lotion with SPF 30,86.0,,Grocery & Food,Fresh Vegetables,,,100 g,,,,,,,,P9933,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.307879Z,2025-01-11T10:51:48.307879Z,,moody hydro burst beach please body lotion with spf 30,Grocery & Food,Fresh Vegetables
Prakriti Herbals Icy Peppermint Frost Shower Gel,245.0,,Grocery & Food,Fresh Vegetables,,,280 ml,,,,,,,,P4504,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.308879Z,2025-01-11T10:51:48.308879Z,,prakriti herbals icy peppermint frost shower gel,Grocery & Food,Fresh Vegetables
Earth Rhythm Phyto Clear Oil-Free Moisturizer,630.0,,Grocery & Food,Fresh Vegetables,,,290 ml,,,,,,,,P2197,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.308879Z,2025-01-11T10:51:48.308879Z,,earth rhythm phyto clear oil-free moisturizer,Grocery & Food,Fresh Vegetables
Conscious Chemist Retinol Body Cream For Stretch Marks,176.0,,Grocery & Food,Fresh Vegetables,,,100 g,,,,,,,,P8818,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.308879Z,2025-01-11T10:51:48.308879Z,,conscious chemist retinol body cream for stretch marks,Grocery & Food,Fresh Vegetables
Aroma Magic Foot Cream,405.0,,Grocery & Food,Fresh Vegetables,,,270 ml,,,,,,,,P7605,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.309879Z,2025-01-11T10:51:48.309879Z,,aroma magic foot cream,Grocery & Food,Fresh Vegetables
Milagro Beauty Natural Under Arm Gel,225.0,,Health & Beauty,Face,,,300 ml,,,,,,,,P2350,Lakme,/api/placeholder/200/200,True,2025-01-11T10:51:48.309879Z,2025-01-11T10:51:48.309879Z,,milagro beauty natural under arm gel,Health & Beauty,Face
RAS Luxury Oils Supple Baby Massage Oil,176.0,,Baby Products,Baby & Toddler Toys,,,100 g,,,,,,,,P1873,Johnson's Baby,/api/placeholder/200/200,True,2025-01-11T10:51:48.310878Z,2025-01-11T10:51:48.310878Z,,ras luxury oils supple baby massage oil,Baby Products,Baby & Toddler Toys
Secret Alchemist Soothe - Migraine Reliever Roll On,400.0,,Grocery & Food,Fresh Vegetables,,,1 pack (5 x 20 ml),,,,,,,,P9647,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.310878Z,2025-01-11T10:51:48.310878Z,,secret alchemist soothe - migraine reliever roll on,Grocery & Food,Fresh Vegetables
Prakriti Herbals Soothing Peppermint Foot Soak,428.0,,Grocery & Food,Fresh Vegetables,,,30 ml,,,,,,,,P8222,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.310878Z,2025-01-11T10:51:48.310878Z,,prakriti herbals soothing peppermint foot soak,Grocery & Food,Fresh Vegetables
MCaffeine Naked & Raw Coffee Bath Salt,225.0,,Grocery & Food,Fresh Fruits,,,300 ml,,,,,,,,P9476,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.311877Z,2025-01-11T10:51:48.311877Z,,mcaffeine naked & raw coffee bath salt,Grocery & Food,Fresh Fruits
"Boho Botanist Whipped Body Cream (Almond, Babassu & Avocado)",778.0,,Grocery & Food,Fresh Fruits,,,200 ml,,,,,,,,P8815,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.311877Z,2025-01-11T10:51:48.311877Z,,"boho botanist whipped body cream (almond, babassu & avocado)",Grocery & Food,Fresh Fruits
PurePet Chicken and Vegetables Dry Food Adult,525.0,,Grocery & Food,Fresh Fruits,,,300 ml,,,,,,,,P7642,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.312878Z,2025-01-11T10:51:48.312878Z,,purepet chicken and vegetables dry food adult,Grocery & Food,Fresh Fruits
Pedigree Adult Wet Dog Food -Chicken & Liver Chunks in Gravy flavour - Pack of 2,176.0,,Grocery & Food,Fresh Fruits,,,100 g,,,,,,,,P0607,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.312878Z,2025-01-11T10:51:48.312878Z,,pedigree adult wet dog food -chicken & liver chunks in gravy flavour - pack of 2,Grocery & Food,Fresh Fruits
"Pedigree Wet Dog Food (Chicken Chunks in Gravy flavour, Puppy)",338.0,,Grocery & Food,Canned Vegetables,,,100 g,,,,,,,,P7375,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.312878Z,2025-01-11T10:51:48.312878Z,,"pedigree wet dog food (chicken chunks in gravy flavour, puppy)",Grocery & Food,Canned Vegetables
Drools Real Chicken and Chicken Liver Chunks in Gravy Wet Dog Food (Adult),418.0,,Grocery & Food,Canned Vegetables,,,105 ml,,,,,,,,P3811,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.313878Z,2025-01-11T10:51:48.313878Z,,drools real chicken and chicken liver chunks in gravy wet dog food (adult),Grocery & Food,Canned Vegetables
Drools Chicken & Egg Adult Dog Dry Food - Free 1.2 kg,653.0,,Grocery & Food,Fresh Fruits,,,200 ml,,,,,,,,P6269,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.313878Z,2025-01-11T10:51:48.313878Z,,drools chicken & egg adult dog dry food - free 1.2 kg,Grocery & Food,Fresh Fruits
Pedigree Adult Wet Dog Food -Chicken & Liver Chunks in Gravy flavour,176.0,,Grocery & Food,Fresh Fruits,,,100 g,,,,,,,,P5007,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.314885Z,2025-01-11T10:51:48.314885Z,,pedigree adult wet dog food -chicken & liver chunks in gravy flavour,Grocery & Food,Fresh Fruits
Pedigree Adult Dry Dog Food - Chicken & Vegetable,320.0,,Grocery & Food,Fresh Fruits,,,80 ml,,,,,,,,P9443,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.315883Z,2025-01-11T10:51:48.315883Z,,pedigree adult dry dog food - chicken & vegetable,Grocery & Food,Fresh Fruits
Drools Chicken & Egg Dog Dry Food (Puppy),244.0,,Grocery & Food,Fresh Fruits,,,1 unit,,,,,,,,P9549,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.315883Z,2025-01-11T10:51:48.315883Z,,drools chicken & egg dog dry food (puppy),Grocery & Food,Fresh Fruits
Drools Focus Super Premium Dry Dog Food (Adult),315.0,,Grocery & Food,Canned Vegetables,,,50 ml,,,,,,,,P7269,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.316880Z,2025-01-11T10:51:48.316880Z,,drools focus super premium dry dog food (adult),Grocery & Food,Canned Vegetables
Pedigree Chicken Chunks in Gravy Wet Dog Food Puppy - Pack of 5,540.0,,Grocery & Food,Canned Vegetables,,,100 g,,,,,,,,P4042,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.316880Z,2025-01-11T10:51:48.316880Z,,pedigree chicken chunks in gravy wet dog food puppy - pack of 5,Grocery & Food,Canned Vegetables
Kennel Kitchen Chicken Chunks in Gravy Dog Food (Adult & Puppy),390.0,,Grocery & Food,Fresh Fruits,,,200 g,,,,,,,,P4405,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.317879Z,2025-01-11T10:51:48.317879Z,,kennel kitchen chicken chunks in gravy dog food (adult & puppy),Grocery & Food,Fresh Fruits
Pedigree Puppy Dry Dog Food -Chicken & Milk,262.0,,Grocery & Food,Fresh Fruits,,,300 ml,,,,,,,,P2883,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.317879Z,2025-01-11T10:51:48.317879Z,,pedigree puppy dry dog food -chicken & milk,Grocery & Food,Fresh Fruits
Kennel Kitchen Soft Baked Lamb With Pumpkin Sticks Dog Treat,311.0,,Home & Living,Mixers & Grinders,,,30 ml,,,,,,,,P2088,Philips,/api/placeholder/200/200,True,2025-01-11T10:51:48.317879Z,2025-01-11T10:51:48.317879Z,,kennel kitchen soft baked lamb with pumpkin sticks dog treat,Home & Living,Mixers & Grinders
Pedigree Chicken & Liver Chunks in Gravy Wet Dog Food Adult - Pack of 5,439.0,,Grocery & Food,Fresh Fruits,,,300 ml,,,,,,,,P0409,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.318879Z,2025-01-11T10:51:48.318879Z,,pedigree chicken & liver chunks in gravy wet dog food adult - pack of 5,Grocery & Food,Fresh Fruits
Goofy Tails Chicken And Quinoa Dog Food,351.0,,Grocery & Food,Canned Vegetables,,,350 ml,,,,,,,,P8070,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.318879Z,2025-01-11T10:51:48.318879Z,,goofy tails chicken and quinoa dog food,Grocery & Food,Canned Vegetables
Chappi Chicken And Rice Dry Adult Dog Food,743.0,,Grocery & Food,Canned Vegetables,,,100 ml,,,,,,,,P6376,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.318879Z,2025-01-11T10:51:48.318879Z,,chappi chicken and rice dry adult dog food,Grocery & Food,Canned Vegetables
Drools Chicken and Egg Dog Dry Food Puppy - Free 1.2 kg,338.0,,Grocery & Food,Canned Vegetables,,,100 g,,,,,,,,P7688,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.319878Z,2025-01-11T10:51:48.319878Z,,drools chicken and egg dog dry food puppy - free 1.2 kg,Grocery & Food,Canned Vegetables
Pedigree Adult Dry Dog Food - Meat & Rice,176.0,,Grocery & Food,Fresh Fruits,,,100 g,,,,,,,,P9371,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.319878Z,2025-01-11T10:51:48.319878Z,,pedigree adult dry dog food - meat & rice,Grocery & Food,Fresh Fruits
Kennel Kitchen Chicken Liver with Pumpkin Dog Food - Supreme Cuts in Gravy,192.0,,Grocery & Food,Canned Vegetables,,,100 g,,,,,,,,P8999,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.320878Z,2025-01-11T10:51:48.320878Z,,kennel kitchen chicken liver with pumpkin dog food - supreme cuts in gravy,Grocery & Food,Canned Vegetables
Kennel Kitchen Lamb Chunks in Gravy Dog Food (Adult & Puppy),480.0,,Grocery & Food,Fresh Fruits,,,200 g,,,,,,,,P8522,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.320878Z,2025-01-11T10:51:48.320878Z,,kennel kitchen lamb chunks in gravy dog food (adult & puppy),Grocery & Food,Fresh Fruits
Kennel Kitchen Chicken Recipe with Pumpkin Dog Food - Supreme Cuts in Gravy,525.0,,Grocery & Food,Canned Vegetables,,,50 ml,,,,,,,,P3731,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.320878Z,2025-01-11T10:51:48.320878Z,,kennel kitchen chicken recipe with pumpkin dog food - supreme cuts in gravy,Grocery & Food,Canned Vegetables
PurePet Adult Dog Food (Chicken And Vegetable Flavour),293.0,,Grocery & Food,Canned Vegetables,,,50 g,,,,,,,,P5161,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.320878Z,2025-01-11T10:51:48.321878Z,,purepet adult dog food (chicken and vegetable flavour),Grocery & Food,Canned Vegetables
Kennel Kitchen Fish Recipe with Pumpkin Dog Food - Supreme Cuts in Gravy,808.0,,Grocery & Food,Canned Vegetables,,,200 ml,,,,,,,,P7623,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.321878Z,2025-01-11T10:51:48.321878Z,,kennel kitchen fish recipe with pumpkin dog food - supreme cuts in gravy,Grocery & Food,Canned Vegetables
Pedigree PRO Large Breed Active Adult Dry Dog Food (18 months+),479.0,,Grocery & Food,Canned Vegetables,,,60 g,,,,,,,,P9357,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.321878Z,2025-01-11T10:51:48.321878Z,,pedigree pro large breed active adult dry dog food (18 months+),Grocery & Food,Canned Vegetables
Goofy Tails Meal Topper Chicken Broth,225.0,,Grocery & Food,Fresh Vegetables,,,150 g,,,,,,,,P2699,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.322879Z,2025-01-11T10:51:48.322879Z,,goofy tails meal topper chicken broth,Grocery & Food,Fresh Vegetables
Pedigree PRO Adult Small Breed Dry Dog Food (9 Months+),210.0,,Grocery & Food,Canned Vegetables,,,1 unit,,,,,,,,P8753,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.322879Z,2025-01-11T10:51:48.322879Z,,pedigree pro adult small breed dry dog food (9 months+),Grocery & Food,Canned Vegetables
Wilderness Meat And Vegetables Adult Dog Food - Buy 1 Get 1 Free,1395.0,,Grocery & Food,Fresh Fruits,,,200 ml,,,,,,,,P3395,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.322879Z,2025-01-11T10:51:48.322879Z,,wilderness meat and vegetables adult dog food - buy 1 get 1 free,Grocery & Food,Fresh Fruits
Wilderness Chicken And Vegetables Adult Dog Food - Buy 1 Get 1 Free,235.0,,Grocery & Food,Fresh Fruits,,,220 ml,,,,,,,,P8574,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.323877Z,2025-01-11T10:51:48.323877Z,,wilderness chicken and vegetables adult dog food - buy 1 get 1 free,Grocery & Food,Fresh Fruits
PurePet Puppy Dog Food (Chicken & Vegetables),800.0,,Grocery & Food,Fresh Fruits,,,50 ml,,,,,,,,P5039,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.323877Z,2025-01-11T10:51:48.323877Z,,purepet puppy dog food (chicken & vegetables),Grocery & Food,Fresh Fruits
Chappi Chicken And Milk Dry Puppy Dog Food,845.0,,Grocery & Food,Canned Vegetables,,,100 ml,,,,,,,,P1675,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.323877Z,2025-01-11T10:51:48.323877Z,,chappi chicken and milk dry puppy dog food,Grocery & Food,Canned Vegetables
Pedigree PRO Large Breed Puppy Dry Dog Food (3-18 months),369.0,,Grocery & Food,Canned Vegetables,,,50 g,,,,,,,,P9770,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.323877Z,2025-01-11T10:51:48.323877Z,,pedigree pro large breed puppy dry dog food (3-18 months),Grocery & Food,Canned Vegetables
Kennel Kitchen Lamb Recipe with Pumpkin Dog Food - Supreme Cuts in Gravy,248.0,,Grocery & Food,Canned Vegetables,,,200 ml,,,,,,,,P0593,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.324877Z,2025-01-11T10:51:48.324877Z,,kennel kitchen lamb recipe with pumpkin dog food - supreme cuts in gravy,Grocery & Food,Canned Vegetables
Royal Canin Dog Food (Maxi Adult),440.0,,Grocery & Food,Canned Vegetables,,,350 ml,,,,,,,,P4895,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.324877Z,2025-01-11T10:51:48.324877Z,,royal canin dog food (maxi adult),Grocery & Food,Canned Vegetables
Royal Canin Golden Retriever Dry Dog Food (Adult),387.0,,Grocery & Food,Canned Vegetables,,,350 ml,,,,,,,,P5434,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.324877Z,2025-01-11T10:51:48.324877Z,,royal canin golden retriever dry dog food (adult),Grocery & Food,Canned Vegetables
Pedigree PRO Puppy Small Breed Dry Dog Food 2-9 Months),300.0,,Grocery & Food,Canned Vegetables,,,150 g,,,,,,,,P6126,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.325878Z,2025-01-11T10:51:48.325878Z,,pedigree pro puppy small breed dry dog food 2-9 months),Grocery & Food,Canned Vegetables
Royal Canin Dry Dog Food (Mini Puppy),450.0,,Grocery & Food,Canned Vegetables,,,100 ml,,,,,,,,P3934,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.325878Z,2025-01-11T10:51:48.325878Z,,royal canin dry dog food (mini puppy),Grocery & Food,Canned Vegetables
Pedigree Biscrok Dog Biscuit -Chicken Flavour (4 Months+),277.0,,Pet Supplies,Dog Food,,,200 ml,,,,,,,,P8905,Pedigree,/api/placeholder/200/200,True,2025-01-11T10:51:48.325878Z,2025-01-11T10:51:48.325878Z,,pedigree biscrok dog biscuit -chicken flavour (4 months+),Pet Supplies,Dog Food
Sploot Grain Free Gobble Dog Food,225.0,,Grocery & Food,Canned Vegetables,,,25 ml,,,,,,,,P0560,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.326877Z,2025-01-11T10:51:48.326877Z,,sploot grain free gobble dog food,Grocery & Food,Canned Vegetables
Sploot Millet O Fish Dog Food,277.0,,Grocery & Food,Canned Vegetables,,,200 ml,,,,,,,,P2881,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.326877Z,2025-01-11T10:51:48.326877Z,,sploot millet o fish dog food,Grocery & Food,Canned Vegetables
"Kennel Kitchen Supreme cuts in Gravy, Lamb Recipe with Pumpkin Wet Dog Food Adult & Puppy - Pack of 12 - Brand Offer",347.0,,Grocery & Food,Fresh Fruits,,,200 ml,,,,,,,,P6894,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.326877Z,2025-01-11T10:51:48.326877Z,,"kennel kitchen supreme cuts in gravy, lamb recipe with pumpkin wet dog food adult & puppy - pack of 12 - brand offer",Grocery & Food,Fresh Fruits
Drools Focus Starter Super Premium Dry Dog Food,277.0,,Grocery & Food,Canned Vegetables,,,200 ml,,,,,,,,P1093,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.326877Z,2025-01-11T10:51:48.326877Z,,drools focus starter super premium dry dog food,Grocery & Food,Canned Vegetables
Pedigree Puppy Starter Kit - Dog Food & Treats,462.0,,Grocery & Food,Fresh Fruits,,,50 g,,,,,,,,P7723,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.327877Z,2025-01-11T10:51:48.327877Z,,pedigree puppy starter kit - dog food & treats,Grocery & Food,Fresh Fruits
"Super Dog Pressed Bone (Medium, 6"")",380.0,,Pet Supplies,Dog Food,,,100  g,,,,,,,,P6627,Pedigree,/api/placeholder/200/200,True,2025-01-11T10:51:48.327877Z,2025-01-11T10:51:48.327877Z,,"super dog pressed bone (medium, 6"")",Pet Supplies,Dog Food
Royal Canin Maxi Breed Junior Dry Dog Food (Puppy),203.0,,Grocery & Food,Canned Vegetables,,,50 g,,,,,,,,P1186,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.327877Z,2025-01-11T10:51:48.327877Z,,royal canin maxi breed junior dry dog food (puppy),Grocery & Food,Canned Vegetables
"Purina Supercoat Dog Food with Chicken (Adult, 1+ Years)",1150.0,,Grocery & Food,Canned Vegetables,,,50 g,,,,,,,,P7434,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.328877Z,2025-01-11T10:51:48.328877Z,,"purina supercoat dog food with chicken (adult, 1+ years)",Grocery & Food,Canned Vegetables
Wilderness Chicken And Milk Puppy Dog Food - Buy 1 Get 1 Free,1043.0,,Grocery & Food,Canned Vegetables,,,100 ml,,,,,,,,P6745,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.328877Z,2025-01-11T10:51:48.328877Z,,wilderness chicken and milk puppy dog food - buy 1 get 1 free,Grocery & Food,Canned Vegetables
Pedigree Grilled Chicken Liver Dog Food for Adult,699.0,,Grocery & Food,Canned Vegetables,,,10 ml,,,,,,,,P8938,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.328877Z,2025-01-11T10:51:48.328877Z,,pedigree grilled chicken liver dog food for adult,Grocery & Food,Canned Vegetables
"Purina Supercoat Dog Food with Chicken (Puppy, upto 12 months)",225.0,,Grocery & Food,Canned Vegetables,,,150 g,,,,,,,,P8302,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.328877Z,2025-01-11T10:51:48.328877Z,,"purina supercoat dog food with chicken (puppy, upto 12 months)",Grocery & Food,Canned Vegetables
Kennel Kitchen Soft Baked Chicken Sticks Dog Treat,372.0,,Home & Living,Mixers & Grinders,,,200 g,,,,,,,,P5824,Philips,/api/placeholder/200/200,True,2025-01-11T10:51:48.329877Z,2025-01-11T10:51:48.329877Z,,kennel kitchen soft baked chicken sticks dog treat,Home & Living,Mixers & Grinders
"Royal Canin Pellet Dry Food (Chicken, Medium Puppy)",507.0,,Grocery & Food,Canned Vegetables,,,200 ml,,,,,,,,P9917,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.329877Z,2025-01-11T10:51:48.329877Z,,"royal canin pellet dry food (chicken, medium puppy)",Grocery & Food,Canned Vegetables
Sploot Chonky Chimken Dog Food,1104.0,,Grocery & Food,Canned Vegetables,,,9 kg,,,,,,,,P7064,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.329877Z,2025-01-11T10:51:48.329877Z,,sploot chonky chimken dog food,Grocery & Food,Canned Vegetables
Drools Focus Super Premium Dry Dog Food (Puppy),95.0,,Grocery & Food,Canned Vegetables,,,2 x 70 g,,,,,,,,P4446,Del Monte,/api/placeholder/200/200,True,2025-01-11T10:51:48.330877Z,2025-01-11T10:51:48.330877Z,,drools focus super premium dry dog food (puppy),Grocery & Food,Canned Vegetables
Sploot Meaty Mutton Dog Food,50.0,,Grocery & Food,Chicken,,,70 g,,,,,,,,P5417,Licious,/api/placeholder/200/200,True,2025-01-11T10:51:48.330877Z,2025-01-11T10:51:48.330877Z,,sploot meaty mutton dog food,Grocery & Food,Chicken
Sploot Toppers Chicken & Pumpkin Dog Food,34.0,,Grocery & Food,Fresh Fruits,,,150 g,,,,,,,,P6097,Fresho,/api/placeholder/200/200,True,2025-01-11T10:51:48.330877Z,2025-01-11T10:51:48.330877Z,,sploot toppers chicken & pumpkin dog food,Grocery & Food,Fresh Fruits
