name,category,subcategory,mrp,our_price,quantity,status,stock_count,productid,imageurl,createdat,updatedat,details
Jaipan Breeza Mixer Grinder - 550 Watts : 3 Jars,Home & Living,Kitchen & Dining,2995,2995,1,,,,,,,
Bajaj Mixer Grinder Tornado (550 W) - 3 Jars : 1 Unit,Electronics,Home Appliances,4050,4050,1,,,,,,,
Bajaj Mixer Grinder - GX4 - 500 W : 3 Jars,Home & Living,Kitchen & Dining,3375,3375,1,,,,,,,
Balzano High Speed Nutri-Pro Bullet Powerful Mixer Grinder - Silver : 500 W,Electronics,Home Appliances,4999,4999,1,,,,,,,
Preethi Peppy 3 Jar Mixer Grinder : 750 Watts,Electronics,Home Appliances,5495,5495,1,,,,,,,
Wonderchef Vietri Mixer Grinder Blue - 500 W : 3 Jars,Home & Living,Kitchen & Dining,3800,3800,1,,,,,,,
Kent Hand Blender (116044) - Silver : 400 W,Industrial & Scientific,Industrial Tools,2100,2100,1,,,,,,,
Jaipan Portable Blender 200W - White : 1 Unit,Electronics,Home Appliances,1495,1495,1,,,,,,,
Wonderchef Nutri-Blend Mixer - Black : 400 W,Electronics,Home Appliances,5300,5300,1,,,,,,,
Crystal Xpress Handy Juicer 2 In 1 : 1 Unit,Sports & Fitness,Sports Accessories,345,345,1,,,,,,,
Wonderchef Nutri-Blend Mixer With - 400 W (Red) 3 Jars  : 1 Unit,Electronics,Home Appliances,6700,6700,1,,,,,,,
Wonderchef Nutri Cup Portable USB Charging Blender (Blue) - 300 ml : 1 Unit,Sports & Fitness,Sports Accessories,2500,2500,1,,,,,,,
Prestige Ace Hand Blender - 250 W : 1 Unit,Industrial & Scientific,Industrial Tools,1295,1295,1,,,,,,,
Agaro Royal Milk Frother - 3 Speed Electric Frother : 1 Unit,Electronics,Home Appliances,999,999,1,,,,,,,
Wonderchef Nutri-blend Black with Jar,Grocery & Food,Pantry Essentials,6700,6700,1,,,,,,,
Pigeon Digital Healthifry Air Fryer (Green) - 4.2 Litres : 1200 W,Pet Supplies,Other Pets,5995,5995,1,,,,,,,
Pigeon Induction Cooktop Acer Plus : 1800 W,Pet Supplies,Other Pets,3995,3995,1,,,,,,,
Prestige Induction Cooktop PIC 16.0 Plus : 1900 W,Home & Living,Home Decor,4295,4295,1,,,,,,,
Borosil Prime Grill Sandwich Maker - Grey : 1 Unit,Garden & Outdoor,Outdoor Living,2590,2590,1,,,,,,,
Kent Crisp Pop Up 2 Slice Toaster (116105) - White : 750 W,Grocery & Food,Bakery & Breakfast,2600,2600,1,,,,,,,
Prestige Induction Cooktop - PIC 20.0 (1600 W) : 1 Unit,Home & Living,Home Decor,3645,3645,1,,,,,,,
Anjali Diamond Dura Waffle Toaster : 1 Unit,Grocery & Food,Bakery & Breakfast,925,925,1,,,,,,,
Prestige Sandwich Toaster - 800 W : 1 Unit,Grocery & Food,Bakery & Breakfast,1795,1795,1,,,,,,,
Bajaj Deluxe Sandwich Toaster - SWX 3 : 800 W,Grocery & Food,Bakery & Breakfast,2225,2225,1,,,,,,,
Bajaj Majesty ICX Pearl Induction Cooktop : 1900 W,Party & Events,Event Planning,5000,5000,1,,,,,,,
Wonderchef Sanjeev Kapoor Mini Plus Tandoor Maker : 750 W,Jewelry & Watches,Watches,4000,4000,1,,,,,,,
Bajaj Majesty ICX 3 Induction Cooktop : 1400 W,Electronics,Home Appliances,4100,4100,1,,,,,,,
Midea Innerchef Digital Air Fryer MF-CN40D2 - 1500 W : 1 Unit,Electronics,Home Appliances,8990,8990,1,,,,,,,
Midea Air Fryer (MF-TN40E2 ) - 1600 W : 1 Unit,Electronics,Home Appliances,7590,7590,1,,,,,,,
Pigeon Favourite Glass Top Gas Stove : 2 Burners,Garden & Outdoor,Outdoor Living,4399,4399,1,,,,,,,
Suryaflame Stainless Steel Lotus LPG Gas Stove : 3 Burners,Industrial & Scientific,Industrial Tools,6995,6995,1,,,,,,,
Butterfly Hippo Stainless Steel Gas Stove : 2 Burners,Electronics,Home Appliances,3429,3429,1,,,,,,,
Prestige Magic Plus Glass Top Gas Stove : 3 Burners,Jewelry & Watches,Fine Jewelry,5695,5695,1,,,,,,,
Prestige Magic Plus Glass Top Gas Stove : 2 Burners,Jewelry & Watches,Fine Jewelry,3995,3995,1,,,,,,,
Glen Glass Top LPG Stove 1040 XL Junior Brass Burner - Black : 4 Burner,Garden & Outdoor,Outdoor Living,8995,8995,1,,,,,,,
Glen Stainless Steel LPG Stove 1044 Brass Burner - Silver : 4 Burner,Industrial & Scientific,Industrial Tools,10695,10695,1,,,,,,,
Glen Stainless Steel LPG Stove 1036  HF Brass Burner - Silver : 3 Burner,Industrial & Scientific,Industrial Tools,7665,7665,1,,,,,,,
Butterfly Wave Stainless Steel Glass Top Gas Stove : 3 Burners,Electronics,Home Appliances,9120,9120,1,,,,,,,
Glen Glass Top LPG Stove 1030 Brass Burner - Black : 3 Burner,Garden & Outdoor,Outdoor Living,7495,7495,1,,,,,,,
Glen Stainless Steel LPG Stove 1020 Brass Burner - Silver : 2 Burner,Garden & Outdoor,Outdoor Living,4595,4595,1,,,,,,,
Wonderchef Duralife Slim Glass Cooktop : 3 Burners,Home & Living,Kitchen & Dining,8000,8000,1,,,,,,,
Glen Glass Top LPG Gas Stove 1022 XL Brass Burner - Black : 2 Burner,Garden & Outdoor,Outdoor Living,6395,6395,1,,,,,,,
Wonderchef Crescent Electric Kettle (1350 W) - 1.5 L : 1 Unit,Electronics,Home Appliances,1600,1600,1,,,,,,,
Prestige PKOSS Kettle : 1.5 Litres,Garden & Outdoor,Outdoor Living,1445,1445,1,,,,,,,
Borosil Rio Kettle (1350 W) -  1.5 L : 1 Unit,Garden & Outdoor,Gardening,1440,1440,1,,,,,,,
Jaipan Stainless Steel Electric Kettle : 1.8 L,Electronics,Home Appliances,1895,1895,1,,,,,,,
Pigeon Hot Kettle (Silver & Black) - 1.5 Litres : 1300 W,Garden & Outdoor,Gardening,1045,1045,1,,,,,,,
Kent Elegant Electric Glass Kettle (116052) : 1.8 L,Garden & Outdoor,Outdoor Living,2000,2000,1,,,,,,,
Nouvetta Electric Smart Kettle - 1500 W (Red) 1.8 L : 1 Unit,Electronics,Home Appliances,1695,1695,1,,,,,,,
Nouvetta Electric Smart Kettle - 1500 W (Black) 1.8 L : 1 Unit,Electronics,Home Appliances,1695,1695,1,,,,,,,
Kent Gold Optima Water Purifier (11016) : 10 L,Garden & Outdoor,Gardening,2000,2000,1,,,,,,,
Kent Gold Storage Water Purifier (11014) : 20 L,Garden & Outdoor,Gardening,3400,3400,1,,,,,,,
Agaro Grand Egg And Poacher Boiler - 500 W : 1 Unit,Grocery & Food,Dairy & Eggs,2199,2199,1,,,,,,,
Philips Hair Dryer HP8142 : 1000 W,Personal Care,Beauty & Grooming,995,995,1,,,,,,,
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,Jewelry & Watches,Watches,1999,1999,1,,,,,,,
Caresmith Bloom Face & Body Hair Trimmer - Green :1 Unit,Personal Care,Beauty & Grooming,2300,2300,1,,,,,,,
Caresmith Revive Electric Head Massager -Green :1 Unit,Personal Care,Health & Wellness,4200,4200,1,,,,,,,
Vega Power Series P-1 Beard Trimmer ( VHTH-25 ) Green : 1 Unit,Sports & Fitness,Sports Accessories,999,999,1,,,,,,,
Caresmith Charge X Percussion Massage Gun -Black :1 Unit,Books & Media,Musical Instruments,5400,5400,1,,,,,,,
Caresmith Charge Boost X Percussion Massage Gun -Dark Blue : 1 Unit,Books & Media,Musical Instruments,3900,3900,1,,,,,,,
Nouvetta Bluetooth Digital Personal Smart Weighing Scale Machine : Black,Sports & Fitness,Sports Accessories,2695,2695,1,,,,,,,
Caresmith Bloom Bikini Trimmer Plus -Purple :1 Unit,Fashion & Accessories,Women's Fashion,3000,3000,1,,,,,,,
Caresmith Crew T -Blade Beard Trimmer - Blue :1 Unit,Industrial & Scientific,Industrial Tools,2500,2500,1,,,,,,,
Eagle Multi Purpose Digital Weighing Scale (10 kg) - Sky Blue : 1 Unit,Sports & Fitness,Sports Equipment,999,999,1,,,,,,,
Eagle Electronic Personal Weighing Scale (180 kg) - Multi : 1 Unit,Sports & Fitness,Sports Equipment,1999,1999,1,,,,,,,
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,Fashion & Accessories,Men's Fashion,3999,3999,1,,,,,,,
Zlade Ballistic Pro Full-Body Manscaping Trimmer With Ceramic Blades - Black : 1 Unit,Fashion & Accessories,Footwear,2999,2999,1,,,,,,,
Eagle Portable Electronic Hanging Scale (50 kg) - Assorted  : 1 Unit,Sports & Fitness,Sports Equipment,899,899,1,,,,,,,
Zlade Ballistic Nose & Ear Hair Trimmer - Black : 1 Unit,Electronics,Audio Devices,999,999,1,,,,,,,
Zlade Ballistic Lite Full-Body Trimmer with Extra Head - Black : 1 Unit,Jewelry & Watches,Fine Jewelry,2798,2798,1,,,,,,,
Agaro Electric Callus Remover CR1727 With 3 Head Rollers : 1 unit,Electronics,Smartphones & Accessories,1299,1299,1,,,,,,,
Caresmith Crew Manscaping Trimmer - Blue :1 Unit,Industrial & Scientific,Industrial Tools,2500,2500,1,,,,,,,
Zlade Summer Intimate Body Trimmer For Women - Pink : 1 Unit,Fashion & Accessories,Women's Fashion,2999,2999,1,,,,,,,
Agaro Atom Electric Handheld Full Body Massager - 28 W : 1Unit,Personal Care,Health & Wellness,1995,1995,1,,,,,,,
Ambrane Fitshot Sphere 1.28 Inches Smart Watch : Raven Black,Jewelry & Watches,Watches,4999,4999,1,,,,,,,
Beezy Stainless Steel Push Chopper : 1 Unit,Industrial & Scientific,Industrial Tools,448,448,1,,,,,,,
Sealing Clip Bag : 12 Units,Personal Care,Baby Care,66,66,1,,,,,,,
Crystal Stainless Steel Oil Pourer : 500 ml,Industrial & Scientific,Industrial Tools,445,445,1,,,,,,,
Crystal Stainless Steel Oil Pourer : 1 Litre,Industrial & Scientific,Industrial Tools,595,595,1,,,,,,,
Prestige Gas Lighter With Knife : 1 Unit,Jewelry & Watches,Fine Jewelry,145,145,1,,,,,,,
Bamboo Chopping Board (35 x 25 x 1.5 cm) : 1 Unit,Industrial & Scientific,Lab & Scientific,260,260,1,,,,,,,
Stainless Steel Tea Strainer : 1 Unit,Industrial & Scientific,Industrial Tools,69,69,1,,,,,,,
Pigeon Handy Chopper Pro Mini - 400 ml : 1 Unit,Pet Supplies,Other Pets,695,695,1,,,,,,,
Joyo Oil Can - Blue : 1 Litre,Sports & Fitness,Sports Accessories,149,149,1,,,,,,,
Anjali Gas Round Trolley - Super : 1 Unit,Sports & Fitness,Exercise & Fitness,225,225,1,,,,,,,
Anjali Stainless Steel Gas Lighter Dura : 1 Unit,Industrial & Scientific,Industrial Tools,150,150,1,,,,,,,
Anjali Kitchen Express Gripper (Chakli Maker) - 12 Jalis : 1 Unit,Electronics,Home Appliances,695,695,1,,,,,,,
Pigeon Rechargeable Zoom Chopper - 350 ml : 1 Unit,Sports & Fitness,Sports Equipment,1495,1495,1,,,,,,,
Pigeon Stainless Steel Knife Set : 3 Pieces,Industrial & Scientific,Industrial Tools,545,545,1,,,,,,,
Crystal Electric Gas Lighter :1 Unit,Electronics,Home Appliances,220,220,1,,,,,,,
Beezy Brass Chakli Sancha with 6 Jalis (Chakli Maker) : 1 Unit,Garden & Outdoor,Outdoor Living,1183,1183,1,,,,,,,
Stainless Steel Masala Spice Box : 1 Unit,Grocery & Food,Pantry Essentials,570,570,1,,,,,,,
Beezy Aluminium Puri Press No.5 : 1 Unit,Electronics,Home Appliances,1185,1185,1,,,,,,,
D Homes Scissor Set (Jinda) : 2 Pieces,Home & Living,Home Decor,110,110,1,,,,,,,
Silicon Kitchen Spatula & Brush Tool : 1 Set,Garden & Outdoor,Gardening,110,110,1,,,,,,,
Command Clear Décor Clips : 20 Pieces,Industrial & Scientific,Industrial Tools,275,275,1,,,,,,,
Bamboo Chopping Board (33 x 24 x 1.4 cm) : 1 Unit,Industrial & Scientific,Lab & Scientific,250,250,1,,,,,,,
Stainless Steel Grill Jali With Wooden Handle : 1 Unit,Garden & Outdoor,Outdoor Living,129,129,1,,,,,,,
Command Small Wire Hooks : 3 Pieces,Industrial & Scientific,Industrial Tools,169,169,1,,,,,,,
Anjali Kitchenware Utility Set Super : 3 Pieces,Home & Living,Kitchen & Dining,225,225,1,,,,,,,
Elephant stainless steel Atta/Maida(With Joint) Chani (20 Cm) : 1 Unit,Industrial & Scientific,Industrial Tools,249,249,1,,,,,,,
Nova Stainless Steel Baby Spoon Set : 6 Units,Personal Care,Baby Care,149,149,1,,,,,,,
Beezy Gas Lighter Peeler & Knife : 3 Units,Home & Living,Cleaning & Household,109,109,1,,,,,,,
Crystal Xpress Pull N Chopper Mini : 1 Unit,Industrial & Scientific,Industrial Tools,495,495,1,,,,,,,
Unistar Stainless Steel Sink Strainer : 1 Unit,Industrial & Scientific,Industrial Tools,119,119,1,,,,,,,
Aluminium Cake Baking Mould - Assorted Shapes : 1 Unit,Party & Events,Party Supplies,140,140,1,,,,,,,
Indigo Metalware Plastic Soap Dispenser - Natural : 1 Unit,Home & Living,Cleaning & Household,499,499,1,,,,,,,
Anjali Stainless Steel Gas Trolley : 1 Unit,Industrial & Scientific,Industrial Tools,450,450,1,,,,,,,
Bamboo Chopping Board (28 x 20 x 0.9 cm) : 1 Unit,Industrial & Scientific,Lab & Scientific,135,135,1,,,,,,,
Bamboo Chopping Board (26 x 16 x 0.9 cm) : 1 Unit,Industrial & Scientific,Lab & Scientific,110,110,1,,,,,,,
Gokul Stainless Steel Fancy Water Jug : 1.5 Litres,Sports & Fitness,Sports Accessories,500,500,1,,,,,,,
Veer Stainless Steel Bidding Tope Set : 3 Units,Industrial & Scientific,Industrial Tools,369,369,1,,,,,,,
Om White Polpat (Roti Roller / Chakla) : 1 Unit,Electronics,Smartphones & Accessories,250,250,1,,,,,,,
Indigo Metalware Stainless Steel Butter Dish : 250 ml,Industrial & Scientific,Industrial Tools,248,248,1,,,,,,,
Beezy Adjustable Slicer - Balck : 1 Unit,Electronics,Home Appliances,340,340,1,,,,,,,
Elephant Stainless Steel Oil Frying Strainer & Serving Tong  : 1 Unit,Industrial & Scientific,Industrial Tools,209,209,1,,,,,,,
Stainless Steel Cloth Clip : 1 Unit,Industrial & Scientific,Industrial Tools,130,130,1,,,,,,,
Beezy Stainless Steel Ice Cream Scoop : 1 Unit,Grocery & Food,Dairy & Eggs,275,275,1,,,,,,,
Elephant stainless steel Multi Purpose Fridge Basket (25 Cm) : 1 Unit,Sports & Fitness,Sports Equipment,1449,1449,1,,,,,,,
Stainless Steel Round Table Ring : 1 Unit,Jewelry & Watches,Fine Jewelry,49,49,1,,,,,,,
Anjali Coconut Scraper - Sleekmate : 1 Unit,Garden & Outdoor,Gardening,425,425,1,,,,,,,
Unistar Stainless Steel Heavy Accord Tea Strainer : 1 Unit,Industrial & Scientific,Industrial Tools,49,49,1,,,,,,,
Crystal Stainless Steel Small Strainer : 1 Unit,Industrial & Scientific,Industrial Tools,160,160,1,,,,,,,
Anjali Tadkavati Wire Handle (No. 5) : 1 Unit,Industrial & Scientific,Industrial Tools,265,265,1,,,,,,,
Command Micro Hooks : 3 Pieces,Industrial & Scientific,Industrial Tools,99,99,1,,,,,,,
Steel Chakali Sancha : 1 Unit,Industrial & Scientific,Industrial Tools,449,449,1,,,,,,,
Wonderchef Glory Stainless Steel 6 Blade String Chopper : 900 ml,Jewelry & Watches,Fine Jewelry,800,800,1,,,,,,,
Princeware Maharaja Storage Plastic Basket (Pink) : 1 Unit,Sports & Fitness,Sports Equipment,518,518,1,,,,,,,
Indigo Metalware Stainless Steel Oil Funnel : 1 Unit,Industrial & Scientific,Industrial Tools,344,344,1,,,,,,,
D Homes 10 Pieces Egg Saver Box - Assorted : 1 Unit,Toys & Games,Kids Toys,100,100,1,,,,,,,
Joyo Knit Masala Box - Brown : 1 Unit,Party & Events,Party Supplies,289,289,1,,,,,,,
Crystal Stainless Steel Fine Grater : 1 Unit,Industrial & Scientific,Industrial Tools,150,150,1,,,,,,,
Joyo Cooking Oil Dispenser : 1 Litre,Grocery & Food,Pantry Essentials,100,100,1,,,,,,,
Anjali Manual Hand Juicer Ras Dhara : 1 Unit,Grocery & Food,Pantry Essentials,649,649,1,,,,,,,
Indigo Metalware Multi Use Stainless Steel Fruit & Vegetable Basket : 1 Unit,Grocery & Food,Fresh Produce,299,299,1,,,,,,,
Beezy Mug Jumbo 400Ml With Lid - Red : 1 unit,Sports & Fitness,Sports Accessories,299,299,1,,,,,,,
Indigo Metalware Marble Pestel (khalbatta)  : 1 Unit,Garden & Outdoor,Gardening,559,559,1,,,,,,,
Scotch Multi-purpose Scissors : 1 Unit,Industrial & Scientific,Industrial Tools,229,229,1,,,,,,,
Femora Borosilicate Glass Oil Dispenser With Stainless Steel Lid : 500 ml,Industrial & Scientific,Industrial Tools,600,600,1,,,,,,,
Crystal Stainless Steel Pizza Cutter : 1 Unit,Industrial & Scientific,Industrial Tools,170,170,1,,,,,,,
Bergner Renberg Knife Set (Black) - 6 Pieces : 1 Unit,Industrial & Scientific,Industrial Tools,595,595,1,,,,,,,
Indigo Metalware Stainless Steel Serving  Spoons Coper Hammered Handle : 3 Piece,Industrial & Scientific,Industrial Tools,657,657,1,,,,,,,
Indigo Metalware Oregano & Chilli Flakes Dispenser - Natural : 2 Pieces,Garden & Outdoor,Gardening,163,163,1,,,,,,,
Priya Stainless Steel Round Kitchen 2 Step Basket Trolley : 1 Unit,Home & Living,Kitchen & Dining,2500,2500,1,,,,,,,
HAZEL Cooker Separator With Lifter (2x500 ml) - Set of 2 Containers : 1 Unit,Garden & Outdoor,Gardening,1179,1179,1,,,,,,,
Elephant stainless steel Multi Utility Basket (25.5 X 34.5 Cm) : 1 Unit,Sports & Fitness,Sports Equipment,839,839,1,,,,,,,
Steel Puri Jhara : 1 Unit,Industrial & Scientific,Industrial Tools,88,88,1,,,,,,,
Joyo Knit Masala Box - Sky Dark Grey : 1 Unit,Party & Events,Party Supplies,289,289,1,,,,,,,
Beezy Stainless Steel Pavbhaji Mesher Dlx : 1 Unit,Industrial & Scientific,Industrial Tools,200,200,1,,,,,,,
Kvg Gas Cleaning Brush - Set Of 3 : 1 Unit,Garden & Outdoor,Gardening,110,110,1,,,,,,,
Anjali Stainless Steel Medu Wada Maker : 1 Unit,Industrial & Scientific,Industrial Tools,345,345,1,,,,,,,
Command Medium Designer Hooks : 2 Pieces,Books & Media,Musical Instruments,199,199,1,,,,,,,
Steel Lemon Squeezer : 1 Unit,Sports & Fitness,Sports Accessories,390,390,1,,,,,,,
Joyo Fridge Storage Tray : 1 Unit,Personal Care,Baby Care,86,86,1,,,,,,,
Crystal Cut Peel & Slice 3 Pcs (Value Pack) : 1 Units,Electronics,Computers & Laptops,210,210,1,,,,,,,
Elephant stainless steel Sink Basket (34 X 22 Cm) : 1 Unit,Home & Living,Home Improvement,1670,1670,1,,,,,,,
Stainless Steel Juice Strainer : 1 Unit,Sports & Fitness,Sports Accessories,440,440,1,,,,,,,
Stainless Steel Damru Glass - 320 ml : 3 Pieces,Jewelry & Watches,Fine Jewelry,179,179,1,,,,,,,
Elephant stainless steel Whisk (20 Cm) : 1 Unit,Industrial & Scientific,Industrial Tools,85,85,1,,,,,,,
Indigo Metalware Stainless Steel Tong - UTP10 : 1 Unit,Industrial & Scientific,Industrial Tools,199,199,1,,,,,,,
Anjali Knife & Peeler Set (3 Knives + 1 Peeler) : 1 Unit,Personal Care,Baby Care,155,155,1,,,,,,,
Elephant Stainless Steel Tea Strainer Wire Handle (8.5 cm) : 1 Unit,Industrial & Scientific,Industrial Tools,49,49,1,,,,,,,
Crystal 2-In-1 Lemon Squeezer Cum Opener - Assorted : 1 Unit,Grocery & Food,Pantry Essentials,145,145,1,,,,,,,
Kvg Stainless Steel Straw With Cleaning Brush Set - 5 Pieces : 1 Unit,Garden & Outdoor,Gardening,149,149,1,,,,,,,
Stainless Steel Multifunctional 3-In-1 Peeler : 1 Unit,Industrial & Scientific,Industrial Tools,100,100,1,,,,,,,
Anjali Fantastique Deluxe Vegetable Cutter : 1 Unit,Grocery & Food,Fresh Produce,380,380,1,,,,,,,
Crystal Sleek Chopping Board Small - Assorted : 1 Unit,Industrial & Scientific,Lab & Scientific,225,225,1,,,,,,,
Wonderchef Egg Boiler : 350 W,Industrial & Scientific,Lab & Scientific,1800,1800,1,,,,,,,
Femora Borosilicate Glass Oil Sprayer - Blue : 200 ml,Sports & Fitness,Sports Accessories,385,385,1,,,,,,,
Beezy Stainless Steel Juicy Glass Stand : 1 Unit,Jewelry & Watches,Fine Jewelry,499,499,1,,,,,,,
Beezy Alluminium Fruit Juicer : 1 Unit,Grocery & Food,Fresh Produce,1388,1388,1,,,,,,,
Anjali Stainless Steel Puran Machine Deluxe With 5 Jali : 1 Unit,Industrial & Scientific,Industrial Tools,755,755,1,,,,,,,
Small Steel Knife (08) : 1 Unit,Industrial & Scientific,Industrial Tools,77,77,1,,,,,,,
D Homes Multi Tool Set - 6 Pieces : 1 Unit,Industrial & Scientific,Industrial Tools,555,555,1,,,,,,,
Anjali Coconut Scraper (Premier) : 1 Unit,Grocery & Food,Pantry Essentials,345,345,1,,,,,,,
Beezy Plastic Spice Rack Set : 12 Pieces,Grocery & Food,Bakery & Breakfast,1040,1040,1,,,,,,,
Princeware Maharaja Plastic Storage Basket (Blue) : 1 Unit,Sports & Fitness,Sports Equipment,518,518,1,,,,,,,
Beezy Plastic Spice Rack Set - 16 Piece : 1 Unit,Sports & Fitness,Sports Equipment,1290,1290,1,,,,,,,
Indigo Metalware Nylon + Steel Serving Spoons Set (Black) - 5 Piece : 1 Unit,Industrial & Scientific,Industrial Tools,759,759,1,,,,,,,
Steel Chef Knife - 6 inch : 1 Unit,Industrial & Scientific,Industrial Tools,135,135,1,,,,,,,
Right Kitchen Cylinder Trolley -30.5X10X30.5 cm : 1 Unit,Electronics,Home Appliances,280,280,1,,,,,,,
Joyo Flexi Silicone Ice Cube Rectangular Tray - Red : 1 Unit,Electronics,Computer Accessories,349,349,1,,,,,,,
Measuring Cup Set (Multicolour) - 6 Pieces : 1 Unit,Home & Living,Kitchen & Dining,80,80,1,,,,,,,
Femora Oval Acacia Wooden Chopping Board - Natural : 1 Unit,Industrial & Scientific,Lab & Scientific,600,600,1,,,,,,,
Joyo Flexi Silicone Ice Cube Rectangular Tray - Blue : 1 Unit,Electronics,Computer Accessories,349,349,1,,,,,,,
Femora Rectangle Acacia Wooden Chopping Board - Natural :1 Unit,Industrial & Scientific,Lab & Scientific,550,550,1,,,,,,,
All Time Plastic Multipurpose Big Scoop  : 2 Pieces,Personal Care,Baby Care,120,120,1,,,,,,,
Beezy Travelling Folding Knife - Assorted : 1 Unit,Industrial & Scientific,Industrial Tools,99,99,1,,,,,,,
Priya Stainless Steel Omega 2 Shelf Plate & Cutlery Stand : 1 Unit,Industrial & Scientific,Industrial Tools,2250,2250,1,,,,,,,
Beezy Stainless Steel Apple Cutter : 1 Unit,Industrial & Scientific,Industrial Tools,119,119,1,,,,,,,
Indigo Metalware Stainless Steel Wire Pakad - Red Wire - 25 cm : 1 Unit,Industrial & Scientific,Industrial Tools,149,149,1,,,,,,,
Indigo Metalware Stainless Steel Potato Masher - 24 cm : 1 Unit,Industrial & Scientific,Industrial Tools,198,198,1,,,,,,,
Beezy Egg Cutter Plastic - Assorted : 1 Unit,Grocery & Food,Dairy & Eggs,149,149,1,,,,,,,
Brass Bhog (Prasad) Serving Plate : 1 Unit,Grocery & Food,Meat & Seafood,100,100,1,,,,,,,
HAZEL Stainless Steel Coconut Scraper : 1 Unit,Industrial & Scientific,Industrial Tools,249,249,1,,,,,,,
Indigo Metalware Stainless Steel Cocktail Shaker : 500 ml,Industrial & Scientific,Industrial Tools,248,248,1,,,,,,,
Priya Stainless Steel Multipurpose Penguine Square Basket : 1 Unit,Sports & Fitness,Sports Equipment,1200,1200,1,,,,,,,
Amson Multipurpose Plastic Funnel (Assorted) - Set of 2 : 1 Unit,Grocery & Food,Bakery & Breakfast,80,80,1,,,,,,,
Femora Oil Dispenser Glass Bottle With Grey Silicone Brush : 350 ml,Industrial & Scientific,Lab & Scientific,420,420,1,,,,,,,
Indigo Metalware Stainless Steel Serving Bucket : 350 ml,Industrial & Scientific,Industrial Tools,198,198,1,,,,,,,
Stainless Steel Pav Bhaji Plate - Oval Shape : 1 Unit,Grocery & Food,Meat & Seafood,190,190,1,,,,,,,
Nova Stainless Steel Baby Fork Set : 6 Units,Personal Care,Baby Care,149,149,1,,,,,,,
Priya Stainless Steel Gas Trolley With Wheels - 12 Inches : 1 Unit,Industrial & Scientific,Industrial Tools,1375,1375,1,,,,,,,
All Time Plastic Beaute Strainer Decorative : 3 Pieces,Party & Events,Party Supplies,148,148,1,,,,,,,
Anjali Cut & Wash Chopping Board - Deluxe : 1 Unit,Industrial & Scientific,Industrial Tools,465,465,1,,,,,,,
Bergner Master Pro Stainless Steel Whisk - Black : 1 Unit,Industrial & Scientific,Industrial Tools,495,495,1,,,,,,,
D Homes Stainless Steel Oil Kettle : 600 ml,Electronics,Home Appliances,245,245,1,,,,,,,
All Time Easy Chopping Board - Moonlight : 1 Unit,Jewelry & Watches,Watches,295,295,1,,,,,,,
Nakshatra Stainless Steel See Through Cannister : 1 Litres,Industrial & Scientific,Industrial Tools,250,250,1,,,,,,,
KVG Kabab Stick - 15 cm : 50 Skewers,Books & Media,Musical Instruments,65,65,1,,,,,,,
Beezy Hot Mat With Stand - Red : 1 Unit,Sports & Fitness,Exercise & Fitness,210,210,1,,,,,,,
Stainless Steel Round Potato Masher With Wooden Handle : 1 Unit,Grocery & Food,Meat & Seafood,99,99,1,,,,,,,
Anjali Pizza Cutter : 1 Unit,Grocery & Food,Pantry Essentials,55,55,1,,,,,,,
Right Kitchen Oven Stand - 56X46X33 cm : 1 Unit,Electronics,Home Appliances,1652,1652,1,,,,,,,
Priya Stainless Steel Multipurpose Oval Dolphine Basket : 1 Unit,Industrial & Scientific,Industrial Tools,1200,1200,1,,,,,,,
Wooden Knife (1.51mm) : 1 Unit,Industrial & Scientific,Industrial Tools,155,155,1,,,,,,,
KVG Kabab Stick - 20 cm : 50 Skewers,Garden & Outdoor,Outdoor Living,75,75,1,,,,,,,
D Homes Scissor Set (Xinyi) : 3 Pieces,Home & Living,Home Decor,170,170,1,,,,,,,
All Time  Precise Measuring Spoons  Multi Colour : 6 Pieces,Industrial & Scientific,Industrial Tools,90,90,1,,,,,,,
Joyo Better Home Homio Kitchen Basket : 1 Unit,Home & Living,Home Decor,586,586,1,,,,,,,
Joyo Capsule Pop Up Ice Tray With Lid - Blue : 1 Unit,Personal Care,Baby Care,174,174,1,,,,,,,
All Time Clubs Ice Tray - White : 1 Unit,Sports & Fitness,Sports Equipment,170,170,1,,,,,,,
Pinnacle Ice Brick - 330 ml (Blue) Set Of 2 : 1 Unit,Industrial & Scientific,Industrial Tools,150,150,1,,,,,,,
Priya Stainless Steel Happy Home Plate Stand : 1 Unit,Electronics,Computer Accessories,2250,2250,1,,,,,,,
Karp Plastic Reusable Ice Popsicle (Kulfi Maker) - Pink : Set of 6,Grocery & Food,Dairy & Eggs,499,499,1,,,,,,,
Joyo Pop Up Ice Tray Round - Blue : 1 Unit,Party & Events,Party Supplies,162,162,1,,,,,,,
Bergner Master Pro Stainless Steel Hand Grater - Silver : 1 Unit,Industrial & Scientific,Industrial Tools,495,495,1,,,,,,,
Steel Knife (10) : 1 Unit,Industrial & Scientific,Industrial Tools,77,77,1,,,,,,,
Femora Kitchen Storage Glass Jar With Steel Golden Lid : 700 ml,Home & Living,Kitchen & Dining,325,325,1,,,,,,,
